C02451V02968,REGION,C02447V03042,SchoolProgramme,TLIST(A1),Year,STATISTIC,Statistic Label,UNIT,VALUE,NumberOfClasses, NumberOfPupils
1,Carlow,11,All mainstream national school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,221,221,
1,Carlow,11,All mainstream national school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,229,229,
1,Carlow,11,All mainstream national school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,243,243,
1,Carlow,11,All mainstream national school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,260,260,
1,Carlow,11,All mainstream national school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,260,260,
1,Carlow,11,All mainstream national school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,273,273,
1,Carlow,11,All mainstream national school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,274,274,
1,Carlow,11,All mainstream national school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,272,272,
1,Carlow,11,All mainstream national school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,277,277,
1,Carlow,11,All mainstream national school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,283,283,
1,Carlow,11,All mainstream national school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,287,287,
1,Carlow,11,All mainstream national school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,294,294,
1,Carlow,11,All mainstream national school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,298,298,
1,Carlow,11,All mainstream national school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,302,302,
1,Carlow,11,All mainstream national school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,303,303,
1,Carlow,11,All mainstream national school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,312,312,
1,Carlow,11,All mainstream national school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,306,306,
1,Carlow,121,Pupils with special needs in mainstream national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,2,2,
1,Carlow,121,Pupils with special needs in mainstream national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,2,2,
1,Carlow,121,Pupils with special needs in mainstream national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,2,2,
1,Carlow,121,Pupils with special needs in mainstream national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,5,5,
1,Carlow,121,Pupils with special needs in mainstream national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,5,5,
1,Carlow,121,Pupils with special needs in mainstream national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,6,6,
1,Carlow,121,Pupils with special needs in mainstream national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,8,8,
